                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.0868,                 2.2318,                 1.3815,                0.25776,                0.14085,                0.12788,                0.05577,                 2.2877,                 2.5632,                 1.7061,              0.0011389,              0.0011389,              0.0011389
                     35,                  2.199,                 2.3758,                 1.4607,                0.18992,                0.21127,                0.14345,                0.05683,                 2.2608,                 2.3954,                  1.651,              0.0011224,              0.0011224,              0.0011224
                     36,                 2.1083,                 2.2207,                 1.3041,                0.25334,                0.29577,                 0.1805,                0.05814,                 2.4288,                 2.3968,                 1.7055,              0.0011059,              0.0011059,              0.0011059
                     37,                 2.1923,                 2.1953,                  1.317,                0.23176,                0.31018,                0.15468,                0.05013,                 2.4224,                 2.3926,                 1.6589,              0.0010894,              0.0010894,              0.0010894
                     38,                 2.0347,                 2.2593,                 1.3393,                0.21067,                0.23944,                0.16474,                0.04993,                 2.4464,                 2.3741,                 1.6826,              0.0010729,              0.0010729,              0.0010729
                     39,                 2.0841,                  2.118,                  1.362,                0.17913,                 0.1831,                0.14646,                0.05121,                 2.5036,                  2.466,                 1.6382,              0.0010564,              0.0010564,              0.0010564
                     40,                  2.051,                 2.5652,                 1.3602,                 0.3187,                0.16901,                0.13922,                0.04402,                 2.8432,                 2.4706,                 1.7497,              0.0010399,              0.0010399,              0.0010399
                     41,                 2.0542,                 2.3609,                 1.4431,                0.29066,                0.22535,                0.14871,                0.06023,                 2.7168,                 2.4054,                 1.7582,              0.0010234,              0.0010234,              0.0010234
                     42,                 2.2274,                 2.2429,                 1.3541,                0.25873,                0.21127,                0.13515,                0.05648,                 2.6478,                 2.4389,                 1.7582,              0.0010069,              0.0010069,              0.0010069
                     43,                  2.021,                 2.1027,                 1.4049,                0.25957,                0.22535,                0.15789,                0.06167,                  2.535,                 2.3299,                 1.7621,             0.00099036,             0.00099036,             0.00099036
                     44,                 2.1252,                 2.1387,                 1.3627,                0.28032,                0.23944,                0.15909,                0.06949,                 2.4334,                  2.319,                 1.7752,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.8913,                 2.0345,                 1.3405,                0.23999,                0.22535,                0.12061,                0.04594,                 2.4678,                 2.3631,                 1.7481,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.9778,                 2.0594,                 1.3131,                0.25496,                0.26761,                0.13983,                0.04443,                 2.5165,                 2.3966,                 1.7476,             0.00094085,             0.00094085,             0.00094085
                     47,                   2.32,                 3.9626,                 1.4798,                0.22593,                0.21127,                0.12885,                 0.0455,                 2.5383,                 2.5319,                 1.8086,             0.00092435,             0.00092435,             0.00092435
                     48,                 2.0347,                 2.0677,                 1.3079,                0.16875,                 0.1831,                 0.1011,                0.04065,                 2.5171,                 2.7684,                 1.9263,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.9851,                 2.1133,                 1.2763,                0.20795,                0.19718,                0.10546,                0.04075,                 2.4765,                 2.5258,                 1.9443,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.9445,                 1.9898,                 1.2763,                0.20023,                0.25352,                0.11645,                0.04714,                 2.4903,                 2.3659,                 1.8289,             0.00087484,             0.00087484,             0.00087484
                     51,                 2.1377,                 2.1457,                 1.3219,                 0.2792,                0.22535,                0.13967,                0.04915,                 2.5317,                 2.3357,                 1.7844,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.9582,                 2.0995,                  1.343,                  0.304,                0.23944,                0.14966,                0.04798,                 2.5558,                  2.255,                 1.6628,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.9114,                 1.9077,                 1.2571,                0.24864,                0.25352,                0.14719,                0.05191,                 2.5309,                 2.2673,                 1.6928,             0.00082533,             0.00082533,             0.00082533
                     54,                 2.0089,                 1.9517,                 1.3679,                0.24171,                0.32394,                0.13662,                 0.0545,                 2.5082,                 2.2967,                 1.7212,             0.00080883,             0.00080883,             0.00080883
                     55,                 2.2415,                 2.1957,                 1.3168,                0.30615,                 0.1831,                0.12583,                0.05286,                 2.4151,                 2.3292,                  1.683,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.9329,                 1.9541,                 1.2316,                0.23666,                0.30986,                0.13729,                  0.049,                 2.3688,                 2.3552,                 1.6147,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.9499,                 1.9619,                  1.256,                0.23751,                0.29835,                0.14402,                0.05423,                 2.3525,                 2.3556,                 1.5937,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.8982,                 1.9276,                 1.3003,                 0.2413,                0.30986,                0.15251,                0.05681,                 2.3238,                 2.3154,                 1.5702,             0.00074282,             0.00074282,             0.00074282
                     59,                 2.0219,                  2.459,                 1.2986,                0.24373,                0.29054,                 0.1378,                0.05348,                 2.3192,                 2.3171,                 1.5877,             0.00072631,             0.00072631,             0.00072631
                     60,                   2.03,                 2.0096,                 1.3101,                 0.3009,                0.26761,                0.13599,                0.04945,                   2.38,                 2.4077,                  1.632,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.7581,                 1.9808,                 1.2455,                0.27995,                0.25741,                0.12063,                0.03837,                 2.4492,                  2.417,                 1.7049,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.9948,                 1.9398,                 1.2856,                0.21639,                0.26761,                0.10632,                0.03445,                 2.4839,                 2.4613,                 1.7071,              0.0006768,              0.0006768,              0.0006768
                     63,                 2.1319,                 5.0616,                 1.2239,                0.19323,                0.25352,                0.08975,                0.03321,                 2.4426,                 2.5567,                 1.6793,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.8278,                 2.1799,                 1.2534,                0.12676,                0.22535,                0.09764,                0.04194,                 2.2835,                 2.4522,                 1.6437,              0.0006438,              0.0006438,              0.0006438
