                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6845,                 4.7867,                 1.9704,                0.00099,                0.02817,                0.00054,                0.00041,                  2.421,                 4.3133,                 2.0479,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 2.7057,                 4.3244,                 1.6117,                 0.0047,                0.12676,                0.00306,                0.00168,                 2.5311,                  4.132,                 1.9152,             0.00014854,             0.00014854,             0.00014854
                      3,                   2.57,                 3.7465,                 1.5461,                0.00352,                0.09859,                 0.0022,                0.00074,                 3.2455,                   4.26,                   1.85,             0.00022876,             0.00022876,             0.00022876
                      4,                 2.2928,                 3.2696,                 1.4037,                 0.0073,                0.19718,                0.00497,                0.00128,                 2.9949,                 4.0189,                 1.7878,             0.00030732,             0.00030732,             0.00030732
                      5,                 2.3262,                 3.0684,                 1.3828,                0.01028,                0.23944,                0.00698,                0.00283,                 2.5424,                 3.8515,                 1.5912,             0.00038424,             0.00038424,             0.00038424
                      6,                 2.3916,                 2.9141,                 1.3698,                0.00668,                0.14085,                0.00402,                0.00147,                 2.5002,                 3.9919,                 1.5516,              0.0004595,              0.0004595,              0.0004595
                      7,                 2.3971,                 3.0993,                 1.3916,                0.00212,                0.04225,                0.00115,                 0.0006,                 2.8206,                 4.3914,                 1.6364,             0.00053311,             0.00053311,             0.00053311
                      8,                 2.5049,                 2.9686,                  1.396,                0.00306,                0.05634,                0.00162,                0.00051,                 2.9839,                 4.5025,                 1.7553,             0.00060508,             0.00060508,             0.00060508
                      9,                 2.3621,                 2.8097,                 1.4112,                0.00185,                0.02817,                0.00097,                0.00014,                 3.3366,                 4.7161,                 1.9638,             0.00067539,             0.00067539,             0.00067539
                     10,                 2.2005,                 2.7953,                 1.3413,                0.00448,                0.08451,                0.00261,                0.00062,                 2.9858,                 4.4625,                 1.8345,             0.00074405,             0.00074405,             0.00074405
                     11,                 2.3964,                 2.8312,                 1.3482,                0.00737,                0.19718,                 0.0051,                0.00176,                 2.5917,                 4.0961,                  1.626,             0.00081106,             0.00081106,             0.00081106
