                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5251,                 5.1056,                 2.0672,                0.00116,                0.44444,                0.02853,                0.01143,                 2.6508,                 7.0825,                 2.4256,                0.00018,                0.00018,                0.00018
                      2,                 2.1261,                 4.9244,                 1.7418,                0.00101,                0.38889,                0.01025,                0.00212,                 3.2829,                 7.5362,                 2.8527,             0.00037624,             0.00037624,             0.00037624
                      3,                 2.3344,                  4.472,                 1.8696,                0.00116,                0.44444,                0.00091,                0.00032,                 2.9975,                 7.0433,                 2.5748,             0.00056852,             0.00056852,             0.00056852
                      4,                 2.3397,                  4.491,                 1.8307,                0.00101,                0.38889,                0.00083,                 0.0002,                 3.1954,                 6.9431,                 2.6949,             0.00075683,             0.00075683,             0.00075683
                      5,                 2.2656,                 4.1588,                 1.8198,                0.00101,                0.38889,                0.01896,                0.00757,                 2.8582,                 5.8348,                   3.16,             0.00094119,             0.00094119,             0.00094119
                      6,                 2.2715,                 3.9027,                 1.8031,                0.00072,                0.27778,                0.00183,                0.00052,                 3.3433,                 6.0319,                 4.2454,              0.0011216,              0.0011216,              0.0011216
                      7,                 2.3472,                 4.0384,                 1.7737,                 0.0013,                    0.5,                0.00109,                0.00032,                 2.8444,                 5.3461,                 2.9988,               0.001298,               0.001298,               0.001298
                      8,                 2.3269,                 3.9459,                 1.8471,                0.00043,                0.16667,                 0.0003,                 0.0001,                 2.7868,                 5.7903,                 3.1603,              0.0014705,              0.0014705,              0.0014705
                      9,                 2.4102,                 3.9624,                 1.9055,                0.00043,                0.16667,                0.00029,                  7e-05,                 3.4611,                 5.8962,                 3.8918,               0.001639,               0.001639,               0.001639
                     10,                  2.392,                 3.6264,                 1.8361,                0.00106,                0.27778,                0.00245,                0.00043,                  3.055,                  5.198,                  3.013,              0.0018036,              0.0018036,              0.0018036
                     11,                 2.4028,                 3.9074,                 1.8241,                0.00203,                0.77778,                  0.002,                0.00041,                 2.8816,                 4.9304,                  2.719,               0.001802,               0.001802,               0.001802
                     12,                 2.3098,                 3.7271,                 1.8719,                0.00101,                0.38889,                0.00147,                 0.0003,                 3.2981,                  5.374,                  3.398,               0.001802,               0.001802,               0.001802
                     13,                  2.269,                 3.5512,                 1.8032,                0.00159,                0.61111,                0.00499,                0.00139,                 3.0301,                 5.0694,                 3.8657,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.3362,                 3.3984,                  1.881,                0.01133,                0.16667,                0.00454,                0.00094,                 2.9731,                 8.4445,                 3.3691,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.2489,                 3.2475,                 1.8521,                0.10856,                0.05556,                 0.0159,                0.00276,                  3.051,                 8.3036,                 3.1442,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.3195,                 3.2693,                 1.9583,                0.03691,                0.05556,                0.01238,                0.00315,                 2.6932,                 14.212,                 2.7966,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.3494,                  3.278,                 1.9589,                0.02636,                0.05556,                0.01172,                0.00314,                 2.7681,                  16.31,                 3.1095,               0.001703,               0.001703,               0.001703
                     18,                 2.2131,                 3.0602,                  1.878,                0.05156,                0.11111,                0.01645,                0.00406,                 3.1183,                 5.1079,                 3.0371,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.3261,                 3.3439,                 1.9266,                0.01371,                0.11111,                0.00793,                0.00221,                  3.121,                 4.6776,                 3.3223,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.4009,                 3.0778,                  1.905,                0.03986,                0.05556,                 0.0075,                0.00192,                 2.9426,                 4.9543,                 2.6907,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.1805,                 2.9303,                 1.8272,                0.02763,                0.22222,                0.01546,                0.00404,                 2.9254,                 4.7062,                 2.9387,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.2943,                 2.8908,                 1.8272,                 0.0319,                0.05556,                 0.0225,                0.00655,                 2.7448,                 4.0838,                 2.6126,               0.001604,               0.001604,               0.001604
                     23,                 2.1435,                 2.7211,                 1.7997,                0.02001,                0.16667,                0.01114,                0.00317,                 2.7813,                 4.4711,                 2.5478,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.1767,                 2.8132,                 1.8188,                0.03227,                0.05556,                0.01438,                0.00336,                 2.9461,                 4.4789,                 2.7088,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.1025,                 2.5805,                 1.7795,                0.13735,                0.05556,                0.02097,                0.00587,                 2.8127,                 4.2577,                 2.4902,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.0561,                 2.6415,                 1.8102,                0.03887,                0.16667,                 0.0298,                0.00884,                 2.7926,                 3.7862,                 2.6637,              0.0015248,              0.0015248,              0.0015248
                     27,                  2.089,                 2.6136,                 1.7978,                0.08264,                0.05556,                0.02846,                  0.009,                 2.8062,                 3.9399,                 2.7618,               0.001505,               0.001505,               0.001505
                     28,                 2.0523,                 2.5453,                 1.7448,                0.07191,                0.11111,                0.02787,                0.00878,                 2.6926,                 6.5751,                  2.538,              0.0014852,              0.0014852,              0.0014852
