                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7085,                 5.6169,                 2.0036,                      0,                      0,                      0,                      0,                 2.5209,                 5.2103,                 2.0279,              2.856e-05,              2.856e-05,              2.856e-05
                      2,                 3.0039,                 5.4185,                 1.7453,                      0,                      0,                      0,                      0,                 2.2005,                 5.0357,                 1.8856,             6.3624e-05,             6.3624e-05,             6.3624e-05
                      3,                 2.7776,                 5.0592,                 1.6627,                      0,                      0,                      0,                      0,                 2.5294,                 4.9899,                 1.8158,             9.7981e-05,             9.7981e-05,             9.7981e-05
                      4,                 2.3393,                  4.835,                 1.5038,                      0,                      0,                      0,                      0,                 2.8854,                 5.0885,                 1.7994,             0.00013163,             0.00013163,             0.00013163
                      5,                 2.4615,                 4.5839,                 1.4702,                      0,                      0,                      0,                      0,                 2.9956,                 5.1256,                 1.7027,             0.00016457,             0.00016457,             0.00016457
                      6,                 2.3871,                 4.3327,                 1.4221,                      0,                      0,                      0,                      0,                 2.8279,                 5.0116,                 1.6382,             0.00019681,             0.00019681,             0.00019681
                      7,                 2.4839,                 4.1802,                 1.4521,                0.00039,                0.00377,                0.00025,                 0.0001,                 2.4588,                 4.8453,                 1.5198,             0.00022834,             0.00022834,             0.00022834
                      8,                 2.4982,                 3.7787,                 1.3553,                0.00039,                0.00377,                0.00025,                 0.0001,                 2.3045,                 4.8287,                 1.5113,             0.00025916,             0.00025916,             0.00025916
                      9,                 2.3824,                 3.5587,                 1.3591,                0.00135,                0.01132,                0.00286,                0.00181,                  2.295,                 4.5638,                 1.4759,             0.00028928,             0.00028928,             0.00028928
                     10,                 2.1301,                 3.6782,                 1.3106,                0.00332,                0.04528,                0.00379,                0.00189,                 2.3019,                 4.2878,                 1.4504,             0.00031869,             0.00031869,             0.00031869
                     11,                 2.3024,                 3.4619,                 1.3166,                0.00265,                 0.0717,                0.00348,                0.00148,                 2.3152,                 4.0738,                 1.3979,             0.00034739,             0.00034739,             0.00034739
                     12,                 2.3449,                 3.4909,                 1.3266,                0.80293,                0.08679,                 0.0033,                0.00144,                 2.2882,                 3.8969,                 1.3491,             0.00037538,             0.00037538,             0.00037538
                     13,                 2.4383,                  3.423,                 1.2644,                0.80689,                0.00377,                0.00433,                0.00208,                 2.2945,                 3.7872,                 1.3568,             0.00040267,             0.00040267,             0.00040267
