                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2454,                 3.7552,                 2.1812,                0.00555,                0.66197,                0.10275,                0.03066,                 2.4314,                  4.445,                 2.3728,             0.00053344,             0.00053344,             0.00053344
                      2,                 2.1021,                 3.1768,                   2.06,                0.00303,                0.42254,                0.01679,                0.00393,                 3.0692,                 4.5069,                 3.8313,              0.0010728,              0.0010728,              0.0010728
                      3,                 2.1551,                 3.0828,                 2.0376,                0.05049,                0.19718,                0.07426,                0.02189,                 2.5619,                 16.698,                 3.3314,              0.0016013,              0.0016013,              0.0016013
                      4,                 2.2443,                 2.9805,                 2.0884,                0.15873,                0.35211,                0.12489,                0.03083,                  2.592,                 7.6808,                  3.315,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.0756,                 2.6913,                 2.0036,                0.12065,                 0.3662,                0.12079,                0.04019,                 2.2134,                 12.241,                 2.7635,              0.0016175,              0.0016175,              0.0016175
                      6,                 2.1665,                 2.5756,                 2.0507,                0.13836,                0.21127,                0.10345,                0.03038,                 2.5736,                 3.0117,                 2.4577,               0.001601,               0.001601,               0.001601
                      7,                 2.0628,                 2.4561,                 1.9534,                0.33172,                0.28169,                0.19297,                0.07412,                 2.3288,                  3.057,                 2.1843,              0.0015845,              0.0015845,              0.0015845
                      8,                 2.0581,                 2.4714,                 1.9562,                0.21683,                0.15493,                0.10243,                0.02469,                 2.7088,                 3.4951,                 3.2042,               0.001568,               0.001568,               0.001568
                      9,                 2.0473,                 2.3222,                 1.9254,                0.30505,                0.35211,                0.27887,                0.08035,                 2.2355,                 2.5377,                 2.4326,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.9994,                 2.2446,                 1.9386,                0.24266,                 0.3746,                 0.1898,                0.05893,                 2.2523,                 3.0408,                 2.2955,               0.001535,               0.001535,               0.001535
                     11,                 1.9483,                 2.1769,                 1.8799,                0.14686,                0.42186,                0.15982,                0.05901,                 2.0926,                 3.0786,                 2.0789,              0.0015185,              0.0015185,              0.0015185
