                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6816,                 4.4115,                 1.9736,                0.00133,                0.05634,                0.00074,                0.00045,                 2.3731,                 3.9484,                 2.0264,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.6316,                 3.9752,                 1.5803,                  0.003,                0.12676,                0.00232,                0.00107,                 2.5633,                 3.8116,                 1.9154,             0.00017644,             0.00017644,             0.00017644
                      3,                 2.4421,                 3.4417,                 1.5019,                0.00333,                0.14085,                0.00247,                0.00059,                 3.4584,                 3.9437,                  2.021,             0.00026891,             0.00026891,             0.00026891
                      4,                 2.2365,                 3.1304,                 1.3873,                0.00467,                0.19718,                0.00339,                0.00108,                 2.8294,                  3.784,                 1.8617,             0.00035743,             0.00035743,             0.00035743
                      5,                 2.2375,                 2.9295,                 1.3749,                0.00567,                0.23944,                0.00434,                0.00157,                 2.4534,                 3.6121,                  1.731,             0.00044198,             0.00044198,             0.00044198
                      6,                 2.3913,                 2.8255,                 1.4058,                  0.005,                0.21127,                0.00396,                0.00143,                 2.4693,                 3.6644,                 1.7256,             0.00052258,             0.00052258,             0.00052258
                      7,                 2.4378,                 2.9457,                 1.4062,                0.00467,                0.19718,                0.00321,                0.00126,                 2.6124,                 3.7284,                 1.6396,             0.00059922,             0.00059922,             0.00059922
                      8,                 2.4403,                  2.837,                 1.3644,                  0.004,                0.16901,                0.00252,                  0.001,                 2.6941,                 3.8737,                 1.6626,             0.00067189,             0.00067189,             0.00067189
                      9,                 2.3595,                 2.7108,                 1.4218,                0.00233,                0.09859,                0.00136,                0.00039,                 2.8347,                 3.8984,                 1.7555,             0.00074061,             0.00074061,             0.00074061
                     10,                 2.2131,                 2.7075,                 1.3611,                0.00433,                 0.1831,                0.00289,                0.00086,                 2.5338,                 3.6332,                 1.7039,             0.00080536,             0.00080536,             0.00080536
                     11,                 2.4173,                 2.7113,                 1.3718,                0.00633,                0.26761,                 0.0058,                0.00243,                 2.5227,                 3.3755,                 1.7114,             0.00086616,             0.00086616,             0.00086616
                     12,                  2.349,                 2.7846,                 1.3902,                0.01067,                 0.4507,                0.04052,                0.01744,                 2.4249,                 3.0582,                 1.5837,               0.000923,               0.000923,               0.000923
                     13,                 2.4467,                 2.6961,                 1.3189,                0.01133,                0.47887,                 0.0368,                0.01346,                 2.4154,                 3.0252,                 1.5824,             0.00097587,             0.00097587,             0.00097587
                     14,                 2.2576,                 2.5036,                 1.4126,                0.03791,                 0.4507,                0.04948,                0.01878,                 2.4669,                 2.8557,                 1.5929,              0.0010248,              0.0010248,              0.0010248
                     15,                 2.3689,                 2.8251,                  1.518,                0.34485,                0.07042,                0.11058,                 0.0414,                 2.3698,                 2.7095,                 1.5426,              0.0010697,              0.0010697,              0.0010697
                     16,                 2.1809,                 2.5086,                 1.3911,                0.31716,                0.05634,                0.07605,                0.02528,                 2.3594,                 2.8822,                 1.5019,              0.0011107,              0.0011107,              0.0011107
                     17,                  2.331,                 2.5829,                 1.3567,                0.01233,                0.52113,                0.03034,                0.01052,                 2.3826,                 3.0548,                  1.509,              0.0011478,              0.0011478,              0.0011478
                     18,                 2.1521,                 2.4114,                 1.2688,                0.07231,                0.12676,                0.03768,                0.01362,                 2.2406,                 2.8138,                 1.5472,              0.0011809,              0.0011809,              0.0011809
                     19,                 2.2648,                 2.6311,                 1.4646,                 0.0881,                0.16901,                0.03511,                0.01221,                 2.2686,                 2.9569,                  1.578,                0.00121,                0.00121,                0.00121
                     20,                 2.2454,                 2.4358,                 1.3329,                0.11012,                0.09859,                0.04656,                0.01551,                 2.4504,                 2.8365,                 1.5635,              0.0012351,              0.0012351,              0.0012351
                     21,                  2.341,                 2.6774,                 1.3496,                0.15924,                0.11268,                0.07674,                0.02784,                   2.39,                 2.6221,                 1.4812,               0.001208,               0.001208,               0.001208
                     22,                 2.2413,                 2.3263,                 1.2997,                 0.2239,                 0.1831,                0.11713,                 0.0454,                 2.2853,                  2.569,                 1.4207,               0.001208,               0.001208,               0.001208
                     23,                 2.2244,                 2.3685,                 1.2873,                0.20987,                0.12676,                0.11244,                0.04994,                 2.2393,                 2.5175,                   1.42,              0.0011684,              0.0011684,              0.0011684
                     24,                 2.4388,                 2.4568,                 1.4258,                0.15326,                0.16901,                0.09313,                0.04583,                 2.2759,                 2.6965,                 1.4827,              0.0011288,              0.0011288,              0.0011288
                     25,                 2.3571,                 2.5816,                 1.3346,                0.15194,                0.16901,                0.07156,                0.03257,                 2.3689,                 2.9173,                 1.5304,              0.0010892,              0.0010892,              0.0010892
                     26,                 2.1464,                 2.4973,                 1.3458,                0.21554,                0.15493,                0.07338,                0.03304,                 2.2612,                 2.9536,                 1.5054,              0.0010496,              0.0010496,              0.0010496
                     27,                 2.2903,                 2.4372,                 1.3093,                0.19865,                 0.1831,                0.06714,                0.03475,                 2.1986,                 2.7799,                 1.5321,                0.00101,                0.00101,                0.00101
                     28,                 2.1344,                 2.4867,                 1.2918,                0.11382,                0.14085,                0.06023,                0.03682,                 2.1263,                 2.7893,                 1.5477,              0.0009704,              0.0009704,              0.0009704
                     29,                 2.0173,                 2.2933,                 1.3372,                0.13023,                 0.1831,                0.06622,                0.03872,                 2.1046,                 2.6417,                  1.539,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.9833,                 2.1991,                 1.2776,                0.19082,                 0.1831,                0.09125,                0.04662,                 2.0659,                 2.5248,                 1.4299,              0.0008912,              0.0008912,              0.0008912
                     31,                 2.1536,                  2.233,                 1.2607,                0.20726,                 0.1831,                0.09303,                0.04105,                  2.158,                  2.601,                 1.4523,              0.0008516,              0.0008516,              0.0008516
                     32,                 2.2674,                 2.4291,                 1.4215,                 0.2299,                0.16901,                0.09325,                0.04628,                 2.2274,                 2.4989,                 1.4604,               0.000812,               0.000812,               0.000812
                     33,                 2.0735,                 2.1877,                 1.2537,                0.18413,                0.16901,                0.11275,                0.05401,                 2.1561,                 2.4312,                 1.4096,              0.0007724,              0.0007724,              0.0007724
                     34,                   2.06,                 2.1995,                  1.283,                0.18935,                0.14085,                0.11611,                0.05776,                 2.1406,                 2.3968,                 1.4068,              0.0007328,              0.0007328,              0.0007328
                     35,                  2.119,                 2.2922,                 1.3496,                0.18571,                0.16066,                0.12046,                0.05438,                 2.1454,                 2.4087,                 1.3945,              0.0006932,              0.0006932,              0.0006932
                     36,                 2.0723,                 2.2522,                 1.2239,                0.19001,                0.14085,                0.11502,                0.06275,                 2.1073,                 2.3699,                 1.3886,              0.0006536,              0.0006536,              0.0006536
                     37,                 2.1624,                 2.1746,                 1.2255,                0.23461,                0.15493,                0.11991,                0.05772,                 2.1007,                 2.3831,                 1.3917,               0.000614,               0.000614,               0.000614
                     38,                 2.0316,                 2.1797,                 1.2372,                0.23136,                0.15493,                0.11271,                0.05063,                 2.1168,                 2.4061,                 1.4065,              0.0005744,              0.0005744,              0.0005744
                     39,                 2.0672,                 2.1123,                  1.236,                0.20493,                0.13075,                0.09748,                0.04618,                 2.1553,                 2.4824,                 1.4331,              0.0005348,              0.0005348,              0.0005348
                     40,                 2.1319,                 2.5032,                 1.2105,                0.21635,                0.15493,                0.11657,                0.04893,                 2.2039,                 2.4587,                  1.429,              0.0004952,              0.0004952,              0.0004952
                     41,                 2.0176,                 2.5513,                 1.3338,                0.20709,                0.14085,                0.11575,                0.05256,                 2.2117,                 2.4418,                 1.4277,              0.0004556,              0.0004556,              0.0004556
                     42,                 2.2328,                 2.9893,                 1.3214,                0.25688,                  0.151,                0.12184,                0.05122,                 2.2584,                 2.4705,                 1.4476,               0.000416,               0.000416,               0.000416
                     43,                 2.4038,                 3.1955,                 1.2905,                0.27409,                0.11268,                0.12217,                0.05009,                 2.2709,                  2.519,                 1.4411,              0.0003764,              0.0003764,              0.0003764
                     44,                 2.0069,                 2.2136,                 1.2785,                0.24649,                0.07042,                0.11151,                0.05051,                 2.2187,                 2.5262,                 1.4028,              0.0003368,              0.0003368,              0.0003368
                     45,                 2.0633,                 2.5127,                  1.362,                0.25327,                0.07042,                0.11781,                0.05712,                 2.2112,                 2.5372,                 1.4016,              0.0002972,              0.0002972,              0.0002972
                     46,                 2.3026,                 3.0289,                 1.2711,                 0.2666,                0.11268,                0.14922,                0.06736,                 2.1808,                 2.4449,                 1.3823,              0.0002576,              0.0002576,              0.0002576
                     47,                 2.0181,                  2.192,                 1.2146,                 0.2639,                0.12625,                0.15877,                 0.0767,                 2.1651,                 2.3189,                 1.3896,               0.000218,               0.000218,               0.000218
                     48,                 2.0521,                  2.192,                 1.2723,                0.24006,                0.16901,                0.17084,                  0.089,                 2.1583,                 2.1851,                 1.4192,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.9984,                 2.2636,                 1.2969,                0.25072,                0.21127,                0.17709,                0.09394,                 2.1476,                 2.1511,                 1.4166,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.8836,                 2.1372,                 1.2834,                0.23461,                0.21127,                0.17639,                0.09146,                 2.1264,                 2.1388,                 1.4075,               9.92e-05,               9.92e-05,               9.92e-05
