                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2784,                 4.3352,                 1.9138,                0.00145,                0.46479,                0.00164,                0.00062,                  2.421,                   5.34,                 2.2635,             0.00064762,             0.00064762,             0.00064762
                      2,                 2.1639,                 3.8125,                 1.8246,                0.22936,                0.01408,                0.00692,                 0.0017,                 2.7887,                 4.8335,                 2.5407,              0.0013013,              0.0013013,              0.0013013
                      3,                 2.2645,                 3.5443,                 1.9014,                0.05019,                0.09859,                0.01493,                0.00413,                 2.7779,                 4.4558,                 2.5893,              0.0019417,              0.0019417,              0.0019417
                      4,                 2.2789,                 3.3703,                 1.9601,                0.00083,                0.26761,                0.00228,                0.00059,                 3.4213,                 4.7473,                 3.3687,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.3061,                 3.2946,                 1.9808,                0.06062,                0.08451,                0.01853,                0.00702,                 2.9207,                 5.4948,                 2.8402,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.2691,                 3.0643,                 1.9422,                0.07094,                0.08451,                0.01664,                0.00365,                 2.9077,                  4.222,                 2.7055,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.2777,                 2.9979,                 1.9925,                 0.1348,                0.15493,                0.07452,                0.02432,                 2.4306,                 5.2263,                 2.4215,               0.001901,               0.001901,               0.001901
                      8,                 2.2148,                 2.8474,                 1.9223,                0.06828,                0.09859,                0.02101,                0.00783,                 2.3345,                 4.9262,                 2.4168,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.1359,                 2.7414,                 1.8268,                0.12119,                0.05634,                0.03308,                0.00842,                 2.4068,                 3.5799,                 2.2666,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.2138,                 2.7221,                 1.8506,                0.11396,                0.22535,                0.06108,                0.01876,                 2.2782,                 3.2932,                   2.19,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.1902,                 2.7438,                  1.874,                 0.2305,                0.19718,                0.12476,                0.04837,                 2.3183,                 3.9245,                 2.2489,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.1961,                 2.6296,                 1.8472,                 0.2104,                0.19718,                0.11699,                0.03945,                 2.3693,                 3.0711,                 2.2844,               0.001802,               0.001802,               0.001802
                     13,                 2.1405,                  2.633,                 1.8216,                0.36721,                0.23944,                 0.2019,                0.04984,                 2.4333,                 3.1901,                 2.2544,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.0877,                 2.5475,                 1.8128,                0.26235,                0.21127,                0.17656,                 0.0593,                 2.2435,                 2.7107,                  2.247,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.0737,                   2.51,                 1.7922,                0.24335,                0.25352,                0.18364,                0.06906,                 2.1792,                 2.5865,                 2.1009,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.0256,                  2.463,                 1.7309,                0.26796,                0.22535,                 0.1542,                 0.0575,                  2.212,                 2.8099,                 2.1531,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.0424,                 2.4753,                 1.7671,                0.32289,                0.22535,                0.15593,                0.06613,                 2.1706,                 2.5629,                 2.0839,               0.001703,               0.001703,               0.001703
                     18,                 1.9972,                 2.5017,                 1.7934,                0.23409,                0.22535,                0.10595,                0.03449,                 2.3624,                 2.8541,                 2.3278,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.0419,                 2.3878,                 1.7597,                0.40759,                0.22535,                0.24225,                0.07437,                 2.1612,                  2.582,                 2.0602,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.0262,                 2.3356,                 1.7893,                0.13957,                0.29577,                0.12434,                0.04369,                 2.2338,                 3.3393,                  2.139,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.0202,                 2.3139,                 1.7486,                0.32843,                0.29577,                0.23338,                0.06732,                 2.2761,                 2.6259,                 2.0402,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.9838,                 2.2876,                   1.68,                0.33761,                0.16901,                0.14996,                0.05255,                 2.3366,                 2.8485,                 2.0568,               0.001604,               0.001604,               0.001604
                     23,                  1.977,                 2.3034,                 1.6993,                 0.2371,                0.39437,                0.23408,                0.08456,                  2.281,                 2.3712,                 2.0385,              0.0015842,              0.0015842,              0.0015842
