                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2356,                  4.852,                 1.9756,                0.00149,                0.04225,                0.00085,                0.00046,                  2.354,                 4.2382,                 1.9797,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 2.8846,                 4.5062,                 1.6971,                0.00675,                 0.1831,                0.00406,                0.00133,                 2.6038,                 4.1554,                 1.8354,             0.00013518,             0.00013518,             0.00013518
                      3,                 2.3665,                 3.7231,                 1.4435,                0.00453,                0.11268,                0.00254,                0.00064,                 2.9107,                 4.2004,                 1.6795,             0.00018717,             0.00018717,             0.00018717
                      4,                 2.2228,                 3.3548,                 1.4091,                0.00436,                0.09859,                0.00242,                0.00087,                 2.6622,                 3.9875,                 1.5164,             0.00022266,             0.00022266,             0.00022266
                      5,                 2.2551,                 3.2224,                 1.4432,                0.00436,                0.09859,                0.00242,                0.00087,                 2.5695,                 3.9069,                 1.4464,             0.00024165,             0.00024165,             0.00024165
                      6,                 2.3221,                 3.1845,                 1.3957,                0.00138,                0.02817,                0.00074,                0.00015,                 2.5338,                 3.8722,                 1.4072,             0.00024413,             0.00024413,             0.00024413
                      7,                 2.2209,                  3.115,                 1.4698,                0.00188,                0.04225,                0.00425,                0.00113,                 2.4048,                 3.7861,                 1.3957,             0.00023011,             0.00023011,             0.00023011
                      8,                 2.2254,                 3.5164,                 1.3509,                0.00129,                0.02817,                0.00674,                0.00074,                 2.3828,                 3.7477,                 1.3931,             0.00019959,             0.00019959,             0.00019959
                      9,                 2.2229,                 3.3648,                 1.3653,                0.00204,                0.04225,                0.00494,                0.00058,                 2.4264,                 3.7294,                 1.4262,             0.00015256,             0.00015256,             0.00015256
                     10,                 2.1697,                 3.0549,                  1.366,                0.00204,                0.04225,                0.00327,                0.00046,                 2.4058,                 3.7123,                 1.4048,             8.9034e-05,             8.9034e-05,             8.9034e-05
