                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7511,                 1.4654,                 1.5296,                0.64678,                0.61046,                0.60132,                0.20799,                 2.3506,                 1.5262,                 1.9155,              0.0013466,              0.0013466,              0.0013466
                     36,                  1.693,                  1.328,                 1.4325,                0.57592,                  0.625,                0.50352,                0.18734,                 2.3614,                 1.6564,                 2.0001,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.6875,                 1.3256,                 1.4808,                0.45712,                  0.625,                 0.4553,                0.14909,                 2.5755,                 1.8314,                 2.0613,               0.001307,               0.001307,               0.001307
                     38,                 1.6759,                 1.2977,                 1.4215,                  0.553,                0.64583,                0.52628,                0.16438,                 2.6641,                 1.6815,                 2.0832,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6565,                 1.2658,                 1.3854,                0.59847,                0.47917,                0.44754,                0.11752,                  2.986,                 1.7683,                 2.4344,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.706,                 1.2769,                 1.4392,                0.49171,                0.45833,                0.33585,                0.09349,                 2.9647,                 1.7863,                  2.445,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.6611,                 1.3491,                 1.4431,                0.57707,                    0.5,                 0.4311,                0.13678,                 2.5746,                 1.7353,                 2.0844,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.7186,                 1.3252,                 1.4738,                 0.5314,                0.54167,                0.39146,                0.12231,                 2.5587,                 1.8736,                 2.1131,               0.001208,               0.001208,               0.001208
                     43,                  1.691,                 1.3167,                 1.4662,                0.54756,                 0.5548,                0.46949,                0.18032,                 2.4454,                 1.8086,                 2.1067,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.6018,                 1.2247,                 1.4124,                0.49853,                0.58333,                0.41697,                0.15586,                 2.5663,                 1.7648,                 2.1393,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.5806,                 1.1698,                 1.3809,                0.49826,                 0.5625,                0.38273,                0.11663,                 2.7629,                 1.7318,                 2.1927,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.6068,                 1.1632,                 1.3824,                0.57356,                0.45833,                0.40842,                0.13097,                 2.6891,                 1.6337,                 2.0712,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.5466,                 1.1611,                 1.3696,                0.58091,                    0.5,                0.35847,                0.09748,                 2.8442,                 1.7102,                 2.2005,               0.001109,               0.001109,               0.001109
                     48,                  1.574,                 1.1574,                 1.3589,                0.57258,                    0.5,                0.44386,                0.10888,                 2.8438,                 1.5947,                 2.1994,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.6106,                 1.1642,                 1.3754,                0.52689,                0.52083,                0.43115,                0.11311,                 2.7121,                   1.64,                 2.2263,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.5538,                 1.1417,                 1.3792,                0.44437,                0.39583,                0.30621,                0.08509,                 2.9412,                 1.6326,                 2.4785,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.6342,                 1.2267,                  1.403,                0.45944,                0.52083,                0.43936,                0.13836,                 2.6797,                 1.5424,                   2.22,              0.0010298,              0.0010298,              0.0010298
                     52,                  1.503,                 1.1594,                 1.3459,                0.43794,                0.52083,                0.36599,                0.13012,                 2.6541,                 1.5844,                 2.2525,                0.00101,                0.00101,                0.00101
                     53,                 1.5059,                 1.1231,                 1.3379,                 0.4787,                 0.5625,                0.39124,                0.13614,                 2.6837,                  1.587,                 2.3153,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.5691,                 1.1777,                 1.3995,                0.49454,                0.44855,                0.39041,                0.12609,                 2.6448,                 1.6277,                 2.2319,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.497,                 1.1023,                  1.322,                0.65678,                 0.4375,                 0.4733,                0.13981,                 2.5895,                 1.5951,                 2.1399,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.4784,                 1.0976,                 1.3067,                0.60773,                    0.5,                0.50389,                0.13985,                 2.4841,                 1.5477,                 2.0761,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.4945,                 1.0814,                 1.3168,                0.38511,                 0.5625,                0.37466,                0.11323,                 2.7054,                  1.643,                 2.2491,               0.000911,               0.000911,               0.000911
                     58,                 1.5226,                 1.0786,                 1.3348,                0.43552,                0.56259,                0.42745,                0.11246,                 2.7226,                 1.6907,                  2.333,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.4147,                 1.0574,                 1.3185,                0.49554,                  0.625,                0.51113,                0.12041,                 2.7628,                 1.6521,                  2.337,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.4146,                 1.0336,                 1.2976,                0.54232,                0.61723,                0.56623,                0.14249,                  2.636,                 1.6141,                 2.1952,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.4177,                 1.0008,                 1.2884,                0.53233,                0.66667,                 0.5527,                0.15785,                 2.5074,                 1.6361,                 2.0642,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.5215,                 1.0868,                 1.3444,                0.51214,                0.54167,                0.45578,                0.12464,                 2.7023,                 1.7382,                 2.2299,               0.000812,               0.000812,               0.000812
                     63,                 1.5157,                 1.0599,                 1.3306,                0.49692,                0.57627,                0.43988,                0.11006,                 2.7405,                 1.7375,                 2.2438,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.4726,                 1.0497,                  1.298,                0.57564,                0.60417,                0.47532,                0.14677,                 2.5734,                 1.6529,                 1.9992,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.3779,                 1.0284,                 1.2742,                0.64608,                0.64583,                0.53541,                0.13353,                 2.6258,                 1.6207,                 2.1075,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.3817,                0.96485,                 1.2632,                0.56664,                0.65387,                0.51622,                0.13861,                 2.6306,                 1.6051,                 2.1731,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.4246,                0.99559,                 1.2547,                 0.5479,                  0.625,                0.51896,                0.14807,                 2.5504,                 1.5741,                 2.1633,               0.000713,               0.000713,               0.000713
