                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 88.031,                      0,                      0,                      0,                      0,                      0,                      0,                 40.528,                      0,                  4e-05,                  4e-05,                  4e-05
                      2,                      0,                 86.704,                      0,                      0,                      0,                      0,                      0,                      0,                 40.643,                      0,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                      0,                 85.169,                      0,                      0,                      0,                      0,                      0,                      0,                 40.676,                      0,             0.00015683,             0.00015683,             0.00015683
                      4,                      0,                 83.549,                      0,                      0,                      0,                      0,                      0,                      0,                 40.942,                      0,             0.00021347,             0.00021347,             0.00021347
                      5,                      0,                 81.298,                      0,                      0,                      0,                      0,                      0,                      0,                 41.297,                      0,             0.00026891,             0.00026891,             0.00026891
                      6,                      0,                 78.015,                      0,                      0,                      0,                      0,                      0,                      0,                 41.339,                      0,             0.00032317,             0.00032317,             0.00032317
                      7,                      0,                  75.12,                      0,                      0,                      0,                      0,                      0,                      0,                 40.701,                      0,             0.00037624,             0.00037624,             0.00037624
                      8,                      0,                  72.29,                      0,                      0,                      0,                      0,                      0,                      0,                 40.457,                      0,             0.00042812,             0.00042812,             0.00042812
                      9,                      0,                 69.491,                      0,                      0,                      0,                      0,                      0,                      0,                 39.599,                      0,             0.00047882,             0.00047882,             0.00047882
                     10,                      0,                 67.278,                      0,                      0,                      0,                      0,                      0,                      0,                 38.968,                      0,             0.00052832,             0.00052832,             0.00052832
                     11,                      0,                 65.307,                      0,                      0,                      0,                      0,                      0,                      0,                 37.356,                      0,             0.00057664,             0.00057664,             0.00057664
                     12,                      0,                 63.151,                      0,                      0,                      0,                      0,                      0,                      0,                 38.712,                      0,             0.00062377,             0.00062377,             0.00062377
                     13,                      0,                 61.338,                      0,                      0,                      0,                      0,                      0,                      0,                 35.696,                      0,             0.00066971,             0.00066971,             0.00066971
                     14,                      0,                 59.231,                      0,                      0,                      0,                      0,                      0,                      0,                  35.05,                      0,             0.00071447,             0.00071447,             0.00071447
                     15,                      0,                 57.622,                      0,                      0,                      0,                      0,                      0,                      0,                 32.639,                      0,             0.00075803,             0.00075803,             0.00075803
                     16,                      0,                 59.073,                      0,                      0,                      0,                      0,                      0,                      0,                 31.935,                      0,             0.00080041,             0.00080041,             0.00080041
                     17,                      0,                 54.917,                      0,                      0,                      0,                      0,                      0,                      0,                 28.404,                      0,              0.0008416,              0.0008416,              0.0008416
                     18,                      0,                 53.518,                      0,                      0,                      0,                      0,                      0,                      0,                 28.121,                      0,              0.0008816,              0.0008816,              0.0008816
                     19,                      0,                 53.119,                      0,                      0,                      0,                      0,                      0,                      0,                 25.196,                      0,             0.00092042,             0.00092042,             0.00092042
                     20,                      0,                 52.375,                      0,                      0,                      0,                      0,                      0,                      0,                 23.508,                      0,             0.00095804,             0.00095804,             0.00095804
                     21,                      0,                 51.462,                      0,                      0,                      0,                      0,                      0,                      0,                 20.643,                      0,             0.00099448,             0.00099448,             0.00099448
                     22,                      0,                 50.389,                      0,                      0,                      0,                      0,                      0,                      0,                 18.965,                      0,              0.0010297,              0.0010297,              0.0010297
                     23,                      0,                 51.835,                      0,                      0,                      0,                      0,                      0,                      0,                 518.16,                      0,              0.0010638,              0.0010638,              0.0010638
                     24,                      0,                 48.551,                      0,                      0,                      0,                      0,                      0,                      0,                 22.838,                      0,              0.0010967,              0.0010967,              0.0010967
                     25,                      0,                 47.823,                      0,                      0,                      0,                      0,                      0,                      0,                 187.19,                      0,              0.0011284,              0.0011284,              0.0011284
                     26,                      0,                 46.721,                      0,                      0,                      0,                      0,                      0,                      0,                 25.329,                      0,              0.0011588,              0.0011588,              0.0011588
                     27,                      0,                 45.725,                      0,                      0,                      0,                      0,                      0,                      0,                 24.217,                      0,              0.0011882,              0.0011882,              0.0011882
                     28,                      0,                  44.76,                      0,                      0,                      0,                      0,                      0,                      0,                 23.904,                      0,              0.0012163,              0.0012163,              0.0012163
                     29,                      0,                 43.651,                      0,                      0,                      0,                      0,                      0,                      0,                 23.904,                      0,              0.0012432,              0.0012432,              0.0012432
                     30,                      0,                 43.089,                      0,                      0,                      0,                      0,                      0,                      0,                 20.614,                      0,               0.001269,               0.001269,               0.001269
