                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6816,                 4.4115,                 1.9736,                0.00133,                0.05634,                0.00074,                0.00046,                 2.3699,                 7.9736,                 1.3505,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.6318,                 3.9752,                 1.5803,                0.00444,                0.11268,                 0.0032,                0.00166,                 2.5663,                 7.6879,                 1.2764,             0.00017644,             0.00017644,             0.00017644
                      3,                  2.442,                 3.4484,                 1.4907,                0.00556,                0.07042,                0.00334,                0.00119,                 3.3054,                 7.9555,                 1.3307,             0.00026891,             0.00026891,             0.00026891
                      4,                 2.2534,                 3.1266,                 1.3932,                0.00417,                0.07042,                0.00251,                0.00089,                 2.8357,                 7.6595,                 1.2221,             0.00035743,             0.00035743,             0.00035743
                      5,                 2.2758,                 2.9064,                 1.3822,                0.00417,                0.07042,                0.00254,                0.00124,                 2.4854,                 7.3649,                 1.1636,             0.00044198,             0.00044198,             0.00044198
                      6,                 2.3694,                 2.7998,                 1.3835,                0.00333,                0.02817,                0.00188,                0.00103,                  2.447,                 7.4878,                 1.1249,             0.00052258,             0.00052258,             0.00052258
                      7,                 2.4491,                 2.9331,                 1.4179,                  0.005,                0.04225,                0.00268,                0.00044,                 2.4601,                 7.5187,                 1.1173,             0.00059922,             0.00059922,             0.00059922
                      8,                 2.4309,                 2.8363,                 1.3649,                0.00833,                0.07042,                0.00475,                0.00145,                 2.4922,                 7.5273,                 1.1154,             0.00067189,             0.00067189,             0.00067189
                      9,                 2.3549,                 2.7526,                 1.3912,                0.00667,                0.05634,                0.00364,                0.00115,                 2.6166,                 7.8055,                  1.137,             0.00074061,             0.00074061,             0.00074061
                     10,                 2.1938,                 2.7191,                 1.3291,                0.00833,                0.07042,                0.00497,                0.00247,                 2.4253,                 7.3824,                 1.0491,             0.00080536,             0.00080536,             0.00080536
                     11,                 2.3132,                 2.7194,                  1.356,                0.00667,                0.05634,                0.00401,                 0.0018,                 2.4903,                  7.261,                 1.0547,             0.00086616,             0.00086616,             0.00086616
                     12,                 2.3677,                  2.813,                 1.3991,                0.00667,                0.02817,                0.00346,                0.00159,                 2.6635,                 7.2669,                 1.0861,               0.000923,               0.000923,               0.000923
                     13,                 2.5162,                 2.8409,                 1.3227,                  0.005,                0.04225,                0.00286,                 0.0011,                 2.6793,                 7.3278,                 1.1008,             0.00097587,             0.00097587,             0.00097587
                     14,                 2.2286,                 2.5412,                 1.3602,                0.00667,                0.02817,                0.00383,                0.00128,                 2.6386,                 9.0727,                 1.0838,              0.0010248,              0.0010248,              0.0010248
                     15,                 2.3289,                 2.9043,                  1.462,                   0.01,                0.04225,                0.00969,                0.00219,                 2.5305,                 5.8996,                 1.1114,              0.0010697,              0.0010697,              0.0010697
                     16,                 2.1434,                 2.5116,                 1.3543,                   0.01,                0.04225,                0.00763,                0.00221,                  2.573,                 6.1716,                 1.0998,              0.0011107,              0.0011107,              0.0011107
                     17,                 2.3772,                 2.6089,                 1.3762,                   0.01,                0.04225,                0.02123,                0.00369,                 2.5653,                 6.0255,                 1.0856,              0.0011478,              0.0011478,              0.0011478
                     18,                 2.2416,                 2.4548,                 1.2842,                0.00667,                0.02817,                0.02008,                0.00548,                 2.5844,                 5.7841,                 1.0796,              0.0011809,              0.0011809,              0.0011809
                     19,                 2.2377,                 2.6768,                 1.4331,                0.19528,                0.02817,                0.01746,                0.00655,                 2.4358,                 5.5359,                 1.0412,                0.00121,                0.00121,                0.00121
                     20,                 2.2008,                 2.3685,                 1.3549,                 0.3589,                0.02817,                0.02826,                0.01388,                 2.3889,                 5.3402,                 1.0239,              0.0012351,              0.0012351,              0.0012351
                     21,                 2.2507,                 2.6155,                 1.3694,                0.17891,                0.02817,                0.02826,                0.01167,                 2.4121,                 5.3137,                 1.0257,               0.001208,               0.001208,               0.001208
                     22,                 2.1459,                 2.3005,                 1.2752,                   0.01,                0.04225,                0.02876,                0.00693,                 2.5507,                 5.2813,                 1.0664,               0.001208,               0.001208,               0.001208
                     23,                 2.1262,                 2.4506,                 1.2945,                   0.01,                0.04225,                0.02893,                0.00701,                 2.5284,                 5.2351,                 1.0377,              0.0011684,              0.0011684,              0.0011684
                     24,                 2.2092,                 2.3752,                 1.3251,                 0.5153,                0.02817,                0.03188,                0.01146,                 2.3628,                 5.4021,                0.97947,              0.0011288,              0.0011288,              0.0011288
                     25,                 2.1821,                 2.5217,                 1.2863,                0.76731,                0.02817,                 0.0319,                0.01475,                 2.2442,                 5.2665,                0.98142,              0.0010892,              0.0010892,              0.0010892
                     26,                 2.0041,                  2.692,                 1.3042,                 0.8805,                0.02817,                0.02826,                0.01405,                 2.2116,                 5.1502,                0.98803,              0.0010496,              0.0010496,              0.0010496
                     27,                 2.3207,                 2.5532,                 1.3488,                 0.8624,                0.02817,                0.02826,                0.01463,                 2.2553,                 5.3297,                 1.0044,                0.00101,                0.00101,                0.00101
                     28,                 2.1074,                 2.5173,                 1.2737,                0.63596,                0.02817,                0.02826,                0.01746,                 2.2246,                 4.9887,                0.96269,              0.0009704,              0.0009704,              0.0009704
                     29,                 2.0876,                  2.225,                  1.322,                 0.0316,                0.04225,                0.02447,                0.00951,                 2.3554,                 5.3112,                0.98717,              0.0009308,              0.0009308,              0.0009308
                     30,                 2.0157,                 2.1341,                 1.2544,                0.01333,                0.05634,                0.01999,                0.00635,                 2.4039,                 5.4804,                0.99722,              0.0008912,              0.0008912,              0.0008912
                     31,                 2.1015,                 2.2072,                 1.2191,                0.01333,                0.05634,                0.02003,                0.00499,                 2.4557,                 5.3805,                0.99779,              0.0008516,              0.0008516,              0.0008516
                     32,                 2.3577,                 2.4175,                 1.3963,                0.21877,                0.04225,                0.03736,                0.01334,                 2.4898,                 5.4825,                 1.0474,               0.000812,               0.000812,               0.000812
                     33,                 2.0559,                  2.213,                 1.2359,                0.71555,                0.03643,                0.04658,                0.01297,                  2.383,                  5.038,                 1.0221,              0.0007724,              0.0007724,              0.0007724
                     34,                  2.134,                   2.23,                 1.2842,                0.70717,                0.03501,                0.04476,                0.01394,                 2.3139,                  4.867,                0.98537,              0.0007328,              0.0007328,              0.0007328
                     35,                 2.2234,                  2.409,                 1.3819,                0.53802,                0.03352,                 0.0435,                0.01269,                  2.357,                  4.916,                0.98675,              0.0006932,              0.0006932,              0.0006932
                     36,                 2.0383,                 2.1856,                 1.2163,                0.44431,                0.02817,                0.04005,                0.01217,                 2.3758,                 5.0863,                0.97046,              0.0006536,              0.0006536,              0.0006536
                     37,                 2.2458,                 2.1907,                 1.2294,                  0.447,                0.02817,                0.04008,                0.01351,                 2.4076,                 4.9975,                0.97069,               0.000614,               0.000614,               0.000614
                     38,                 2.0593,                 2.1712,                 1.2183,                0.52011,                0.02817,                0.04153,                0.01475,                 2.4513,                 4.9867,                0.99283,              0.0005744,              0.0005744,              0.0005744
                     39,                 2.0828,                  2.093,                 1.2526,                0.56114,                0.02817,                0.04176,                 0.0148,                 2.3693,                  4.787,                0.99479,              0.0005348,              0.0005348,              0.0005348
                     40,                 2.0391,                 2.4118,                 1.1614,                0.54432,                0.02817,                0.03976,                0.01571,                 2.2243,                 4.7375,                0.98485,              0.0004952,              0.0004952,              0.0004952
                     41,                 2.0134,                 2.5818,                 1.3357,                0.62829,                0.02817,                0.02826,                0.01192,                 2.2181,                 4.6816,                0.97596,              0.0004556,              0.0004556,              0.0004556
                     42,                 2.2839,                 3.0326,                 1.3522,                0.74355,                0.02817,                0.02826,                0.01264,                 2.2143,                 4.7615,                0.98027,               0.000416,               0.000416,               0.000416
                     43,                  2.516,                 3.3685,                 1.3106,                0.81039,                0.02817,                0.02826,                0.01263,                 2.1977,                 4.9084,                0.94796,              0.0003764,              0.0003764,              0.0003764
                     44,                 2.0269,                 2.2355,                 1.2852,                0.29772,                0.02817,                 0.0463,                0.02034,                 2.1799,                 5.0542,                0.93644,              0.0003368,              0.0003368,              0.0003368
                     45,                 2.1717,                 2.6321,                 1.4224,                0.71729,                0.02817,                0.03226,                0.01359,                 2.1806,                 5.0862,                0.93068,              0.0002972,              0.0002972,              0.0002972
                     46,                 2.3951,                 2.7955,                 1.2949,                0.80165,                0.02817,                0.03158,                0.01514,                 2.1726,                 4.9568,                0.92792,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.9807,                 2.2138,                 1.2317,                      1,                0.02816,                0.03143,                0.01512,                 2.1169,                 4.8133,                0.91155,               0.000218,               0.000218,               0.000218
                     48,                 2.0444,                 2.2799,                 1.2989,                0.31326,                0.04225,                0.05415,                0.02333,                 2.1019,                 4.5736,                0.90498,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.9423,                 2.3439,                 1.2932,                0.89179,                0.02817,                0.03226,                0.01619,                 2.1259,                 4.4888,                0.91486,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.9654,                 2.1138,                 1.3053,                0.88425,                0.02817,                0.03309,                0.01461,                  2.147,                 4.4529,                0.92323,               9.92e-05,               9.92e-05,               9.92e-05
