                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4148,                 5.6568,                 2.0095,                  9e-05,                0.00377,                  6e-05,                  3e-05,                 2.5607,                 9.4434,                 1.5212,             0.00022848,             0.00022848,             0.00022848
                      2,                 2.1565,                 4.7099,                 1.8029,                0.00063,                0.03887,                0.00044,                0.00011,                 2.3607,                 8.8481,                 1.3025,             0.00045491,             0.00045491,             0.00045491
                      3,                 2.1026,                 4.2591,                  1.741,                0.00123,                0.12642,                 0.0021,                0.00047,                 2.6328,                 9.2554,                 1.5714,             0.00067201,             0.00067201,             0.00067201
                      4,                 2.1369,                 4.1006,                  1.773,                0.40522,                0.01509,                0.00198,                0.00062,                  2.528,                 8.3899,                 1.4416,             0.00067159,             0.00067159,             0.00067159
                      5,                 2.0351,                 3.8562,                  1.679,                 0.8032,                0.01509,                0.00238,                0.00051,                  2.389,                 7.8048,                 1.4498,             0.00067159,             0.00067159,             0.00067159
                      6,                 2.0141,                 3.7311,                 1.7068,                0.81556,                0.01132,                0.00233,                0.00049,                 2.2591,                 9.3142,                 1.4538,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.9551,                 3.5658,                 1.6536,                0.89948,                0.00377,                0.00476,                0.00205,                 2.4154,                 7.3381,                 1.4215,             0.00064331,             0.00064331,             0.00064331
                      8,                  1.984,                 3.5241,                   1.68,                 0.9327,                0.00377,                0.00425,                0.00214,                 2.1962,                 7.2353,                 1.3756,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.9417,                 3.2369,                 1.6171,                0.87153,                0.00755,                0.00597,                0.00157,                 2.2927,                 6.7826,                 1.3276,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.9719,                 3.1842,                 1.6571,                0.85284,                0.02264,                0.01491,                0.00392,                 2.2124,                 6.2425,                  1.286,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.9587,                 3.0988,                 1.6562,                0.40711,                0.01509,                0.00698,                0.00283,                 2.2346,                 5.9199,                 1.2794,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.9467,                 3.0699,                  1.604,                0.42023,                0.02755,                 0.0056,                0.00179,                 2.3728,                 6.3598,                 1.3373,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.9069,                  2.913,                 1.5808,                0.82832,                0.01132,                0.01959,                0.00301,                 2.1231,                 5.8381,                 1.2355,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.9239,                 2.8877,                 1.6102,                0.60691,                0.01132,                0.01909,                0.00595,                 2.1719,                  6.215,                 1.3156,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.8541,                 2.8545,                 1.5514,                0.82428,                0.01132,                0.00717,                0.00203,                 1.9887,                 5.4636,                 1.1587,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.8559,                 2.7987,                 1.5443,                0.63216,                0.03509,                 0.0113,                 0.0034,                 2.0723,                 5.6449,                 1.2821,             0.00051608,             0.00051608,             0.00051608
                     17,                 1.8306,                 2.7397,                 1.5925,                0.60596,                0.01132,                0.04276,                0.00674,                 2.0466,                 5.6882,                 1.2546,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.8281,                 2.7102,                 1.5731,                0.61549,                0.02264,                0.02127,                0.00354,                 2.0472,                 5.4041,                 1.3417,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.7864,                 2.7504,                  1.565,                 0.6522,                0.03509,                0.01345,                 0.0059,                 2.0797,                 5.3516,                 1.2853,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.8757,                 2.6915,                 1.5386,                0.00496,                0.17283,                0.01062,                0.00357,                 2.0004,                 5.8518,                 1.2544,             0.00045953,             0.00045953,             0.00045953
                     21,                 1.7815,                 2.5897,                  1.522,                0.45227,                0.04642,                0.01404,                0.00395,                 2.0185,                 5.0057,                 1.2063,             0.00044539,             0.00044539,             0.00044539
                     22,                 1.7337,                 2.4989,                 1.5169,                0.43314,                0.03509,                 0.0124,                0.00514,                 2.0261,                 5.0661,                 1.3167,             0.00043126,             0.00043126,             0.00043126
                     23,                 1.7911,                 2.5282,                 1.5135,                0.62754,                0.04264,                0.00857,                0.00391,                 2.0745,                 5.7604,                 1.3903,             0.00041712,             0.00041712,             0.00041712
