                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2214,                 4.7555,                 2.0322,                0.00124,                0.27887,                0.00087,                0.00018,                 2.1598,                 7.9756,                 1.4186,             0.00022848,             0.00022848,             0.00022848
                      2,                 1.9852,                 3.8583,                 1.8606,                0.00252,                0.15975,                0.00242,                0.00082,                 2.0892,                 7.5545,                 1.3911,             0.00045951,             0.00045951,             0.00045951
                      3,                 1.9456,                 3.5079,                 1.8161,                0.00172,                0.07774,                0.00132,                 0.0003,                 2.7138,                 8.6534,                 1.7702,             0.00068587,             0.00068587,             0.00068587
                      4,                 1.9764,                 3.4741,                 1.8306,                0.81402,                0.01887,                0.00501,                0.00114,                 2.1375,                 5.8883,                 1.4126,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.9157,                 3.1818,                 1.7442,                0.82251,                0.01132,                0.00344,                0.00086,                 2.2305,                 7.9501,                 1.3729,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.9753,                 3.1596,                 1.7658,                0.83468,                0.01509,                0.00743,                0.00158,                 2.2441,                 6.0928,                 1.3214,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.8894,                 2.9472,                 1.6942,                0.82902,                0.02264,                0.01423,                0.00364,                 1.9603,                 5.2001,                 1.2097,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.8536,                 2.9635,                 1.7069,                 0.8116,                0.01509,                 0.0047,                0.00135,                 2.1434,                 4.9798,                 1.2983,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.9147,                 2.7417,                  1.695,                0.81224,                0.01132,                0.01118,                0.00475,                 2.4837,                 6.5458,                 1.5258,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.8381,                 2.6602,                 1.7014,                0.84921,                0.02264,                0.01484,                0.00449,                 2.0398,                 5.2565,                 1.2181,             0.00065745,             0.00065745,             0.00065745
