                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3171,                 4.3209,                 1.8992,                0.00192,                0.57746,                0.00739,                0.00247,                 2.5137,                 4.8407,                 2.2844,                0.00064,                0.00064,                0.00064
                      2,                 2.3463,                 3.8404,                  1.864,                 0.0016,                0.47887,                0.00252,                0.00095,                 3.0518,                 5.0969,                  2.798,              0.0012914,              0.0012914,              0.0012914
                      3,                 2.3242,                 3.6076,                 1.9321,                0.03476,                0.01408,                0.00315,                0.00082,                  3.381,                 7.0141,                 3.7665,              0.0019341,              0.0019341,              0.0019341
                      4,                 2.4234,                 3.4664,                  1.985,                0.09357,                0.02817,                0.01107,                0.00304,                 2.7332,                 6.9501,                 2.6751,              0.0019604,              0.0019604,              0.0019604
                      5,                  2.232,                 3.2397,                 1.9078,                0.12271,                0.01408,                0.00647,                0.00275,                 3.1501,                 5.0993,                 3.2176,              0.0019604,              0.0019604,              0.0019604
                      6,                 2.2273,                 3.0401,                  1.939,                0.05156,                0.09859,                0.03196,                0.00842,                 2.4533,                  3.998,                 2.4063,              0.0019472,              0.0019472,              0.0019472
                      7,                 2.1944,                 2.9458,                 1.8685,                0.08661,                 0.0815,                0.02685,                0.00734,                 2.4778,                 3.8508,                 2.3629,               0.001934,               0.001934,               0.001934
                      8,                  2.214,                 2.9095,                 1.9169,                0.15657,                0.16901,                0.05551,                0.01503,                 2.5611,                 5.2259,                 2.5078,              0.0019208,              0.0019208,              0.0019208
                      9,                  2.156,                 2.7448,                 1.7898,                 0.0826,                0.07042,                0.02549,                 0.0099,                 2.5927,                   3.93,                 2.2911,              0.0019076,              0.0019076,              0.0019076
                     10,                 2.1831,                 2.6588,                 1.8709,                0.07893,                0.12676,                0.04229,                0.01122,                 2.5126,                 3.5993,                 2.4351,              0.0018944,              0.0018944,              0.0018944
                     11,                 2.1054,                 2.6437,                 1.8452,                0.02283,                0.11268,                0.01397,                0.00326,                 2.6471,                 3.8387,                  2.487,              0.0018812,              0.0018812,              0.0018812
                     12,                 2.2033,                 2.6787,                 1.8293,                 0.3396,                0.15493,                0.13689,                0.04744,                 2.5336,                 3.1573,                 2.2209,               0.001868,               0.001868,               0.001868
                     13,                 2.1441,                 2.5061,                 1.7651,                0.27235,                 0.1831,                0.15084,                0.04188,                 2.4613,                 3.4576,                 2.2569,              0.0018548,              0.0018548,              0.0018548
                     14,                 2.1352,                 2.5407,                 1.8451,                0.12594,                0.22535,                0.09389,                0.02443,                  2.539,                 2.8067,                 2.3617,              0.0018416,              0.0018416,              0.0018416
                     15,                 2.0647,                 2.5346,                 1.7898,                0.26164,                 0.1831,                0.16051,                0.04302,                 2.4198,                 2.9036,                 2.2144,              0.0018284,              0.0018284,              0.0018284
                     16,                 2.0631,                 2.5509,                 1.7602,                0.18485,                 0.1831,                 0.0828,                0.02875,                  2.378,                  4.037,                 2.2434,              0.0018152,              0.0018152,              0.0018152
                     17,                 2.0232,                 2.4468,                 1.7797,                0.19227,                0.22535,                0.09992,                0.03164,                 2.7837,                  2.725,                 2.3847,               0.001802,               0.001802,               0.001802
                     18,                 2.0518,                 2.4424,                 1.7516,                0.11661,                0.28169,                0.07242,                0.02046,                 2.3211,                 2.8448,                 2.1966,              0.0017888,              0.0017888,              0.0017888
                     19,                 2.0533,                 2.4865,                 1.7951,                 0.1133,                0.26761,                0.08522,                0.02421,                 2.2668,                 2.8157,                 2.2076,              0.0017756,              0.0017756,              0.0017756
                     20,                 2.0998,                   2.43,                 1.7344,                0.14902,                0.23944,                0.12006,                0.05378,                 2.2569,                 2.5043,                 2.1483,              0.0017624,              0.0017624,              0.0017624
                     21,                  2.008,                 2.3163,                  1.696,                0.15324,                 0.1831,                0.09252,                0.03227,                 2.2102,                 2.8024,                 2.1334,              0.0017492,              0.0017492,              0.0017492
                     22,                  1.951,                 2.2676,                 1.6949,                0.19621,                0.26761,                0.15245,                0.04789,                 1.9961,                 2.5863,                 1.9637,               0.001736,               0.001736,               0.001736
                     23,                 1.9923,                 2.3481,                 1.7227,                0.14327,                0.26851,                 0.1154,                0.03642,                 2.2508,                 5.0855,                  2.196,              0.0017228,              0.0017228,              0.0017228
                     24,                  1.943,                 2.2894,                  1.681,                 0.2046,                0.33803,                0.14537,                0.05297,                 2.2382,                 2.6642,                 2.0547,              0.0017096,              0.0017096,              0.0017096
                     25,                 2.0181,                 2.2665,                 1.7177,                0.26087,                0.32812,                0.17741,                0.05292,                 2.2018,                 2.6126,                 2.0615,              0.0016964,              0.0016964,              0.0016964
                     26,                 1.9651,                 2.1843,                 1.7058,                0.31759,                0.26761,                0.19487,                0.06279,                 2.2003,                  2.481,                 2.0934,              0.0016832,              0.0016832,              0.0016832
                     27,                 1.9685,                 2.2333,                 1.6905,                0.37606,                0.28169,                0.27335,                0.09094,                  2.058,                 2.3334,                 1.9359,                0.00167,                0.00167,                0.00167
                     28,                 1.8687,                 2.1852,                 1.6592,                0.29004,                0.28169,                0.19745,                0.07141,                 2.1166,                 2.4824,                 2.0458,              0.0016568,              0.0016568,              0.0016568
                     29,                 1.9514,                 2.2358,                 1.6833,                0.25439,                0.23944,                0.16231,                0.05411,                 2.2092,                 2.6969,                 2.0761,              0.0016436,              0.0016436,              0.0016436
                     30,                 1.9338,                 2.1771,                 1.6583,                0.21193,                0.28789,                0.15521,                0.06168,                 2.2268,                 2.4736,                 2.0577,              0.0016304,              0.0016304,              0.0016304
                     31,                 1.9207,                 2.1779,                 1.6956,                0.16657,                0.25352,                0.13748,                0.04391,                 2.2902,                 2.5398,                 2.0565,              0.0016172,              0.0016172,              0.0016172
                     32,                 1.9218,                  2.167,                 1.6732,                0.23119,                0.33803,                0.20206,                0.06936,                 2.0984,                 2.7976,                 2.0333,               0.001604,               0.001604,               0.001604
                     33,                 1.8984,                 2.1046,                 1.6117,                0.34405,                0.25352,                0.22336,                0.08368,                 2.2091,                 2.4763,                 2.0872,              0.0015908,              0.0015908,              0.0015908
                     34,                 1.8543,                 2.0854,                 1.6356,                0.27809,                 0.3364,                0.24216,                0.08782,                 2.2383,                 2.2883,                 1.9798,              0.0015776,              0.0015776,              0.0015776
                     35,                 1.9316,                 2.1448,                 1.6699,                0.26136,                0.22535,                0.17772,                0.05744,                 2.2976,                 2.7769,                 2.0288,              0.0015644,              0.0015644,              0.0015644
                     36,                 1.8519,                 2.0949,                 1.6293,                0.24872,                0.39437,                0.22825,                0.08372,                 2.1343,                 2.1781,                 2.0004,              0.0015512,              0.0015512,              0.0015512
                     37,                 1.9036,                 2.0451,                 1.6342,                0.20425,                0.30986,                0.17054,                0.05862,                 2.1624,                 2.4886,                  2.113,               0.001538,               0.001538,               0.001538
                     38,                 1.8774,                 2.0203,                 1.6096,                0.35681,                0.29577,                0.27914,                0.10492,                 2.3661,                  2.316,                 2.1577,              0.0015248,              0.0015248,              0.0015248
                     39,                 1.8606,                 2.0345,                 1.6054,                0.38504,                0.42254,                0.32663,                0.11318,                 2.1123,                 2.0772,                 1.9314,              0.0015116,              0.0015116,              0.0015116
                     40,                  1.828,                  1.995,                 1.5998,                 0.3798,                 0.3662,                0.34273,                0.12627,                 2.1646,                 2.1275,                 1.9264,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.8644,                 2.0432,                 1.6226,                0.32237,                0.42254,                0.30215,                 0.1046,                 2.0176,                 2.0499,                 1.9972,              0.0014852,              0.0014852,              0.0014852
                     42,                 1.8404,                 1.9881,                 1.5888,                0.29379,                0.38028,                0.24108,                0.07514,                 2.1838,                 2.3109,                 2.0086,               0.001472,               0.001472,               0.001472
                     43,                 1.8343,                 1.9524,                 1.5762,                0.25426,                0.43662,                0.21959,                0.08324,                  2.151,                 2.3027,                 2.0559,              0.0014588,              0.0014588,              0.0014588
                     44,                 1.8426,                 2.0244,                 1.5881,                0.45192,                0.40845,                0.35506,                0.12935,                 2.0408,                  2.038,                 1.8758,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.9363,                 2.0613,                 1.6142,                0.36998,                0.38028,                0.34345,                0.13047,                  2.071,                 2.0737,                 1.8986,              0.0014324,              0.0014324,              0.0014324
                     46,                 1.8283,                 1.9767,                 1.5992,                0.43309,                 0.3662,                0.34189,                0.12832,                 2.1247,                 2.0515,                 1.9188,              0.0014192,              0.0014192,              0.0014192
                     47,                 1.7888,                 1.9582,                 1.5533,                0.32224,                0.23944,                0.22808,                0.08321,                 2.1874,                 2.4522,                  2.018,               0.001406,               0.001406,               0.001406
                     48,                 1.7906,                 1.9373,                 1.5622,                0.38249,                0.29577,                 0.2363,                0.08865,                 2.2001,                   2.21,                 2.0831,              0.0013928,              0.0013928,              0.0013928
                     49,                 1.7766,                 1.9642,                 1.5788,                0.44065,                0.28169,                0.27283,                0.11118,                 2.1224,                 2.1823,                 2.0381,              0.0013796,              0.0013796,              0.0013796
                     50,                 1.8025,                 1.8975,                 1.5488,                0.34645,                0.37336,                 0.2819,                0.08948,                 2.2254,                 2.1907,                 2.0405,              0.0013664,              0.0013664,              0.0013664
                     51,                 1.8368,                 1.9186,                  1.588,                0.36156,                0.38028,                 0.3106,                 0.1083,                 2.0717,                 2.0956,                 2.0234,              0.0013532,              0.0013532,              0.0013532
                     52,                 1.7791,                 1.9258,                 1.5391,                0.46647,                0.38028,                0.38799,                0.13304,                 2.1385,                  1.965,                  1.994,                0.00134,                0.00134,                0.00134
